TH	SFDR	SCNPV	IFDR	ICNPV
0.000	0.500	0.500	0.500	0.500
0.001	0.500	0.500	0.500	0.500
0.002	0.500	0.500	0.500	0.500
0.003	0.500	0.500	0.500	0.500
0.004	0.500	0.500	0.500	0.500
0.005	0.499	0.496	0.499	0.496
0.006	0.499	0.496	0.499	0.496
0.007	0.499	0.496	0.499	0.496
0.008	0.499	0.496	0.499	0.496
0.009	0.499	0.496	0.499	0.496
0.010	0.494	0.469	0.494	0.469
0.011	0.494	0.469	0.494	0.469
0.012	0.494	0.469	0.494	0.469
0.013	0.494	0.469	0.494	0.469
0.014	0.494	0.469	0.494	0.469
0.015	0.482	0.423	0.482	0.423
0.016	0.482	0.423	0.482	0.423
0.017	0.482	0.423	0.482	0.423
0.018	0.482	0.423	0.482	0.423
0.019	0.482	0.423	0.482	0.423
0.020	0.465	0.373	0.465	0.373
0.021	0.465	0.373	0.465	0.373
0.022	0.465	0.373	0.465	0.373
0.023	0.465	0.373	0.465	0.373
0.024	0.465	0.373	0.465	0.373
0.025	0.448	0.339	0.448	0.339
0.026	0.448	0.339	0.448	0.339
0.027	0.448	0.339	0.448	0.339
0.028	0.448	0.339	0.448	0.339
0.029	0.448	0.339	0.448	0.339
0.030	0.433	0.316	0.433	0.316
0.031	0.433	0.316	0.433	0.316
0.032	0.433	0.316	0.433	0.316
0.033	0.433	0.316	0.433	0.316
0.034	0.433	0.316	0.433	0.316
0.035	0.420	0.302	0.420	0.302
0.036	0.420	0.302	0.420	0.302
0.037	0.420	0.302	0.420	0.302
0.038	0.420	0.302	0.420	0.302
0.039	0.420	0.302	0.420	0.302
0.040	0.407	0.291	0.407	0.291
0.041	0.407	0.291	0.407	0.291
0.042	0.407	0.291	0.407	0.291
0.043	0.407	0.291	0.407	0.291
0.044	0.407	0.291	0.407	0.291
0.045	0.394	0.281	0.394	0.281
0.046	0.394	0.281	0.394	0.281
0.047	0.394	0.281	0.394	0.281
0.048	0.394	0.281	0.394	0.281
0.049	0.394	0.281	0.394	0.281
0.050	0.383	0.274	0.383	0.274
0.051	0.383	0.274	0.383	0.274
0.052	0.383	0.274	0.383	0.274
0.053	0.383	0.274	0.383	0.274
0.054	0.383	0.274	0.383	0.274
0.055	0.371	0.268	0.371	0.268
0.056	0.371	0.268	0.371	0.268
0.057	0.371	0.268	0.371	0.268
0.058	0.371	0.268	0.371	0.268
0.059	0.371	0.268	0.371	0.268
0.060	0.360	0.263	0.360	0.263
0.061	0.360	0.263	0.360	0.263
0.062	0.360	0.263	0.360	0.263
0.063	0.360	0.263	0.360	0.263
0.064	0.360	0.263	0.360	0.263
0.065	0.351	0.261	0.351	0.261
0.066	0.351	0.261	0.351	0.261
0.067	0.351	0.261	0.351	0.261
0.068	0.351	0.261	0.351	0.261
0.069	0.351	0.261	0.351	0.261
0.070	0.340	0.259	0.340	0.259
0.071	0.340	0.259	0.340	0.259
0.072	0.340	0.259	0.340	0.259
0.073	0.340	0.259	0.340	0.259
0.074	0.340	0.259	0.340	0.259
0.075	0.331	0.257	0.331	0.257
0.076	0.331	0.257	0.331	0.257
0.077	0.331	0.257	0.331	0.257
0.078	0.331	0.257	0.331	0.257
0.079	0.331	0.257	0.331	0.257
0.080	0.321	0.253	0.321	0.253
0.081	0.321	0.253	0.321	0.253
0.082	0.321	0.253	0.321	0.253
0.083	0.321	0.253	0.321	0.253
0.084	0.321	0.253	0.321	0.253
0.085	0.312	0.251	0.312	0.251
0.086	0.312	0.251	0.312	0.251
0.087	0.312	0.251	0.312	0.251
0.088	0.312	0.251	0.312	0.251
0.089	0.312	0.251	0.312	0.251
0.090	0.304	0.251	0.304	0.251
0.091	0.304	0.251	0.304	0.251
0.092	0.304	0.251	0.304	0.251
0.093	0.304	0.251	0.304	0.251
0.094	0.304	0.251	0.304	0.251
0.095	0.296	0.250	0.296	0.250
0.096	0.296	0.250	0.296	0.250
0.097	0.296	0.250	0.296	0.250
0.098	0.296	0.250	0.296	0.250
0.099	0.296	0.250	0.296	0.250
0.100	0.288	0.250	0.288	0.250
0.101	0.288	0.250	0.288	0.250
0.102	0.288	0.250	0.288	0.250
0.103	0.288	0.250	0.288	0.250
0.104	0.288	0.250	0.288	0.250
0.105	0.281	0.249	0.281	0.249
0.106	0.281	0.249	0.281	0.249
0.107	0.281	0.249	0.281	0.249
0.108	0.281	0.249	0.281	0.249
0.109	0.281	0.249	0.281	0.249
0.110	0.274	0.249	0.274	0.249
0.111	0.274	0.249	0.274	0.249
0.112	0.274	0.249	0.274	0.249
0.113	0.274	0.249	0.274	0.249
0.114	0.274	0.249	0.274	0.249
0.115	0.266	0.247	0.266	0.247
0.116	0.266	0.247	0.266	0.247
0.117	0.266	0.247	0.266	0.247
0.118	0.266	0.247	0.266	0.247
0.119	0.266	0.247	0.266	0.247
0.120	0.259	0.244	0.259	0.244
0.121	0.259	0.244	0.259	0.244
0.122	0.259	0.244	0.259	0.244
0.123	0.259	0.244	0.259	0.244
0.124	0.259	0.244	0.259	0.244
0.125	0.253	0.244	0.253	0.244
0.126	0.253	0.244	0.253	0.244
0.127	0.253	0.244	0.253	0.244
0.128	0.253	0.244	0.253	0.244
0.129	0.253	0.244	0.253	0.244
0.130	0.248	0.244	0.248	0.244
0.131	0.248	0.244	0.248	0.244
0.132	0.248	0.244	0.248	0.244
0.133	0.248	0.244	0.248	0.244
0.134	0.248	0.244	0.248	0.244
0.135	0.241	0.243	0.241	0.243
0.136	0.241	0.243	0.241	0.243
0.137	0.241	0.243	0.241	0.243
0.138	0.241	0.243	0.241	0.243
0.139	0.241	0.243	0.241	0.243
0.140	0.235	0.243	0.235	0.243
0.141	0.235	0.243	0.235	0.243
0.142	0.235	0.243	0.235	0.243
0.143	0.235	0.243	0.235	0.243
0.144	0.235	0.243	0.235	0.243
0.145	0.230	0.242	0.230	0.242
0.146	0.230	0.242	0.230	0.242
0.147	0.230	0.242	0.230	0.242
0.148	0.230	0.242	0.230	0.242
0.149	0.230	0.242	0.230	0.242
0.150	0.226	0.242	0.226	0.242
0.151	0.226	0.242	0.226	0.242
0.152	0.226	0.242	0.226	0.242
0.153	0.226	0.242	0.226	0.242
0.154	0.226	0.242	0.226	0.242
0.155	0.221	0.242	0.221	0.242
0.156	0.221	0.242	0.221	0.242
0.157	0.221	0.242	0.221	0.242
0.158	0.221	0.242	0.221	0.242
0.159	0.221	0.242	0.221	0.242
0.160	0.216	0.241	0.216	0.241
0.161	0.216	0.241	0.216	0.241
0.162	0.216	0.241	0.216	0.241
0.163	0.216	0.241	0.216	0.241
0.164	0.216	0.241	0.216	0.241
0.165	0.212	0.241	0.212	0.241
0.166	0.212	0.241	0.212	0.241
0.167	0.212	0.241	0.212	0.241
0.168	0.212	0.241	0.212	0.241
0.169	0.212	0.241	0.212	0.241
0.170	0.208	0.242	0.208	0.242
0.171	0.208	0.242	0.208	0.242
0.172	0.208	0.242	0.208	0.242
0.173	0.208	0.242	0.208	0.242
0.174	0.208	0.242	0.208	0.242
0.175	0.205	0.243	0.205	0.243
0.176	0.205	0.243	0.205	0.243
0.177	0.205	0.243	0.205	0.243
0.178	0.205	0.243	0.205	0.243
0.179	0.205	0.243	0.205	0.243
0.180	0.200	0.242	0.200	0.242
0.181	0.200	0.242	0.200	0.242
0.182	0.200	0.242	0.200	0.242
0.183	0.200	0.242	0.200	0.242
0.184	0.200	0.242	0.200	0.242
0.185	0.196	0.242	0.196	0.242
0.186	0.196	0.242	0.196	0.242
0.187	0.196	0.242	0.196	0.242
0.188	0.196	0.242	0.196	0.242
0.189	0.196	0.242	0.196	0.242
0.190	0.192	0.241	0.192	0.241
0.191	0.192	0.241	0.192	0.241
0.192	0.192	0.241	0.192	0.241
0.193	0.192	0.241	0.192	0.241
0.194	0.192	0.241	0.192	0.241
0.195	0.188	0.240	0.188	0.240
0.196	0.188	0.240	0.188	0.240
0.197	0.188	0.240	0.188	0.240
0.198	0.188	0.240	0.188	0.240
